Name;ID;surface;sample;workedmaterial;Studiable type;Axis name - X;Axis length - X;Axis size - X;Axis spacing - X;Axis name - Y;Axis length - Y;Axis size - Y;Axis spacing - Y;Axis name - Z;Layer type - Z;Axis length - Z;Axis size - Z;Axis spacing - Z;NM-points ratio - Z;Sq;Ssk;Sku;Sp;Sv;Sz;Sa;Smr;Smc;Sxp;Sal;Str;Std;Sdq;Sdr;VM;Vv;Vmp;Vmc;Vvc;Vvv;Vvv;Mean depth of furrows;Mean density of furrows;First direction;Second direction;Third direction;Isotropy;Lengthscale.anisotropy.Sfrax.epLsar;Length-scale anisotropy (NewEplsar);Fractal.complexity.Asfc;Smfc;HAsfc9;HAsfc81
"Lime3-8_LSM_50x075_surface1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.8;original;experimental;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;13.9657832;181249;0.0770530221;0;1.536574267;-0.7253109012;5.221294491;5.531097085;8.434686117;13.9657832;1.180775473;0.1427595274;1.802947784;3.320069663;17.5668163;0.7491656031;170.0025377;0.5167717624;11.20305313;0.05835269782;1.86130113;0.05835269782;1.30926805;1.649953264;0.211347866;7.610449939;1.958376011;4195.710904;0.02007024685;90.01104135;45.01015402;81.21074733;*****;*****;18.78414943;3972359.357;0.1898136251;0.2692372252
"Lime3-8_LSM_50x075_surface2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.8;original;experimental;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;10.30891197;180484;0.05711814879;0;1.303417043;-1.296165697;6.843276361;3.352778216;6.95613375;10.30891197;0.9224626241;2.172976213;1.335446163;3.425504125;19.64499842;0.7243562236;176.9901586;0.4076242993;6.659131499;0.05897348898;1.394422701;0.05897348898;0.9398445811;1.157362488;0.2370602135;6.92651799;1.404072763;4507.521374;45.00958119;179.9985737;26.49268323;68.14213008;*****;*****;10.81129363;1997450.375;0.1977122602;0.3580241112
"NRQ_5100_LSM_50x_075_surface1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5100;original;archaeological;C;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;8.580189603;123014;0.06974970006;0;1.273286034;-0.2245914819;3.879326623;3.512734394;5.067455209;8.580189603;0.9727405947;2.806605467;1.593849514;2.708214591;23.82307354;0.8950778779;85.0002235;0.3091249952;3.873825088;0.06603862984;1.65985711;0.06603862984;1.035225124;1.495991492;0.163865619;5.250269173;1.328736056;3714.139817;90.00537945;44.97911059;135.0143337;73.12642227;*****;*****;6.155372268;1997450.375;0.6295531329;1.381212342
"NRQ_5100_LSM_50x_075_surface2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5100;original;archaeological;C;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;10.78956256;187888;0.05742550115;0;1.626508247;-0.04036095958;3.269409827;5.540642053;5.248920508;10.78956256;1.278791312;0.5356275155;1.929463664;3.361397907;18.37663248;0.6101101275;81.50540389;0.4143234192;6.709243069;0.09103857761;2.020530059;0.09103857761;1.420610752;1.821173639;0.1993564203;6.949347022;2.059287078;3756.538769;89.9992763;63.51746816;81.71942908;88.82659874;*****;*****;10.23175184;2156009.768;0.6152127854;0.9552987519
"NRQ_5100_LSM_50x_075_surface3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5100;original;archaeological;C;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;14.14184633;197084;0.07175542578;0;2.478148278;-0.5696368086;2.943223448;6.292448553;7.849397781;14.14184633;1.98781018;0.2278370536;2.848180866;5.909015905;31.83029763;*****;81.24548549;0.4192804428;6.772996834;0.07341215027;2.921608993;0.07341215027;2.326761117;2.565236791;0.3563722025;7.361819663;1.891064642;3605.444615;90.00954864;63.53316714;71.47902506;41.24074907;*****;*****;10.19050175;2711283.314;0.5068321628;1.536104109
"NRQ_8646_LSM_50x_075_surface1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8646;original;archaeological;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;31.95007443;387604;0.08242968192;0;2.612909685;1.719317025;13.58831379;22.98081831;8.96925612;31.95007443;1.854381231;0.02709831234;2.632502995;4.088378941;16.77108799;0.4581354496;8.497426394;0.727786602;12.29056545;0.2112700539;2.843738909;0.2112700539;2.002648515;2.599977634;0.2437612748;9.746073442;2.38210249;4363.742853;0.01634413232;26.46452233;18.51834036;29.71672782;*****;*****;14.90367862;3409565.818;1.200155498;2.545510364
"NRQ_8646_LSM_50x_075_surface2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8646;original;archaeological;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;43.15935482;332795;0.1296875098;0;4.199190031;2.219710084;15.31088115;32.72366028;10.43569454;43.15935482;2.801062011;0.0389921121;3.561625741;6.720350151;16.89493476;0.6078116773;176.5025046;1.258020593;26.72203512;0.4514009914;4.013014069;0.4514009914;3.005766252;3.655762376;0.3572516929;14.68866673;4.048368016;4081.691141;0.001965736877;153.5310946;26.52327788;34.50948425;*****;*****;31.76963025;181044282.7;1.520231571;2.165412741
"NRQ_8646_LSM_50x_075_surface3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8646;original;archaeological;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;40.82607086;421974;0.09675020465;0;4.916326205;0.7836470816;5.62445389;19.82798694;20.99808392;40.82607086;3.457568878;0.1973936994;6.385340911;7.78093407;25.59069664;0.8154928446;121.5033287;1.061325902;25.19105445;0.4148543608;6.80015973;0.4148543608;3.547720109;6.310545243;0.4896144874;15.60503401;4.816950689;4046.678416;116.4702932;123.7225903;179.9860452;64.19562651;*****;*****;29.43351479;21325169.66;0.8047611737;1.232929425
"NRQ_8718_LSM_50x_075_surface1_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8718;original;archaeological;D;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;6.527199512;227583;0.0286805232;0;0.9620122371;-1.016133202;5.117071417;2.465177011;4.062022501;6.527199512;0.6858323184;3.852895134;0.9878719435;2.714748982;19.33643735;0.8445855629;98.23678482;0.286467144;3.635523309;0.04555616045;1.033437839;0.04555616045;0.6627423129;0.8430138357;0.1904240032;4.465101761;0.9548049818;4855.749538;89.98582124;44.98683965;179.9942182;83.09389345;*****;*****;6.568572493;1363334.328;0.2749985286;0.4033739008
"NRQ_8718_LSM_50x_075_surface2_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8718;original;archaeological;D;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;9.619540467;190612;0.05046660476;0;1.475165416;-0.6796436307;4.004099032;3.681437884;5.938102583;9.619540467;1.130177453;2.419288298;1.696963753;3.640313049;26.00001268;0.6042601127;3.508712699;0.3652591769;5.869631544;0.05915357592;1.756103443;0.05915357592;1.225110872;1.525066755;0.2310366888;5.645497208;1.223783943;4842.282158;179.9955421;134.9882071;44.99730041;83.46389494;*****;*****;11.48018657;1363334.328;0.1204672846;0.2785241172
"NRQ_8718_LSM_50x_075_surface3_Topo > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ8718;original;archaeological;D;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;8.416893572;255812;0.0329026534;0;1.302689061;-0.397394522;3.439647206;3.674338013;4.742555559;8.416893572;1.01949892;1.321474529;1.573952207;2.996069112;21.26977877;0.684857315;31.99321891;0.3974576794;6.838971734;0.05412490071;1.628069835;0.05412490071;1.137274153;1.451375006;0.176694829;5.726815403;1.34780299;4767.512119;135.0101175;44.99504378;90.00134559;83.03953598;*****;*****;12.11430329;1363334.328;0.1493331419;0.2825453134
"Template1-MirroringSurfaces --- Lime2-5_LSM_50x075_surface1_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime2.5;impression;experimental;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;8.330381217;128697;0.06472863561;0;0.8364154298;-0.9973105389;8.634805961;3.492821906;4.837559311;8.330381217;0.5722391749;0.6292170949;0.7856070846;2.14150103;13.52773051;0.3708884611;30.75822686;0.3297713688;4.358019837;0.05430011135;0.8398982977;0.05430011135;0.5485578893;0.7110613596;0.1288369381;5.027581009;0.8644138814;4588.429266;30.29583108;0.01018834864;38.7438006;23.53333706;*****;*****;8.78961381;1850551.913;0.4699195775;0.6676141834
"Template1-MirroringSurfaces --- Lime2-5_LSM_50x075_surface2_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime2.5;impression;experimental;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;30.51807829;333107;0.09161644243;0;4.619235987;-0.1070864566;4.476590894;15.50205176;15.01602653;30.51807829;3.244369594;0.2046402346;5.220827392;11.17585097;18.88312972;0.41596288;114.9979809;1.153602035;20.02421379;0.338331324;5.559175408;0.338331324;3.055027057;4.777995538;0.7811798696;18.60061146;4.799823846;4030.24796;116.4253501;134.9607101;26.52289706;26.24164367;*****;*****;23.57691346;181044282.7;3.798385814;4.240714872
"Template1-MirroringSurfaces --- Lime2-5_LSM_50x075_surface3_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime2.5;impression;experimental;B;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;14.90478265;130812;0.1139404844;0;2.320792762;-0.1421900965;3.106529841;7.44908705;7.455695598;14.90478265;1.819030048;0.3123351439;3.034491441;4.953984913;20.11984295;0.5918090781;30.00122401;0.6850296976;16.45693188;0.0916555385;3.126121882;0.0916555385;2.014460627;2.827098437;0.2990234453;7.748978405;2.271421883;4636.392397;179.9973401;26.47728438;116.4911812;77.63931757;*****;*****;30.50052401;2926507.403;0.3744653313;0.4874494613
"Template1-MirroringSurfaces --- Lime3-3_LSM_50x075_surface1_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.3.;impression;experimental;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;14.76594373;176229;0.08378838743;0;1.97777141;0.17973067;3.914115597;7.858764222;6.907179506;14.76594373;1.507445438;0.2123661999;2.377810759;4.001685643;19.02002637;0.4633608225;147.499941;0.604271334;13.49233978;0.1331253776;2.510937436;0.1331253776;1.63094254;2.280550751;0.2303866856;9.325176211;2.430859062;4763.494043;134.9807727;146.2115126;0.01489796745;69.74840018;*****;*****;22.82649826;2511887.447;0.2337346166;0.3673717016
"Template1-MirroringSurfaces --- Lime3-9_LSM_50x075_surface1_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.9;original;experimental;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;23.44554261;295597;0.07931590176;0;3.3394749;-0.3837814414;4.023942008;10.08707912;13.35846349;23.44554261;2.548329163;0.2480130858;3.744005844;7.608478244;25.29210046;0.850825112;140.7442394;0.7630389499;18.81760349;0.1857345724;3.929702182;0.1857345724;2.819309318;3.479245756;0.4504564264;12.97746956;2.687160859;4722.83098;90.00020557;45.00568049;135.0197504;82.28672448;*****;*****;27.99130542;3158816.171;0.2720270289;0.6589737388
"Template1-MirroringSurfaces --- Lime3-9_LSM_50x075_surface2_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.9;original;experimental;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;15.0026992;219525;0.0683416431;0;2.113778685;-0.5344003679;4.359591719;5.970735991;9.03196321;15.0026992;1.597213829;1.042497183;2.325594411;4.865936394;21.2639138;0.2997797895;140.503407;0.6768363264;16.75747948;0.1156062949;2.441197358;0.1156062949;1.761209668;2.136792629;0.3044047287;7.659157289;1.987793409;5032.460059;135.0025839;90.01064659;179.9950208;68.96060108;*****;*****;34.11905306;1997450.375;0.2988217016;0.4699267532
"Template1-MirroringSurfaces --- Lime3-9_LSM_50x075_surface3_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";Lime3.9;original;experimental;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;19.71894662;250165;0.07882376281;0;3.153831136;-0.602321304;3.688909271;8.406948422;11.3119982;19.71894662;2.448384823;0.6888466817;3.561098844;7.890352214;26.10493194;0.7229370247;16.73922896;0.8431235959;22.29499045;0.1276411214;3.688728654;0.1276411214;2.806781001;3.226389804;0.4623388493;11.84011741;2.803313642;4854.345347;44.99767218;26.47388837;89.98926141;87.86529571;*****;*****;32.88890659;5391969.57;0.2855353949;0.5988188732
"Template1-MirroringSurfaces --- NRQ_5570-1_LSM_50x_075_surface1_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5570;impression;archaeological;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;1.95568082;490190;0.003989638344;0;0.2977228393;-0.4999966335;2.966135829;0.8258790751;1.129801745;1.95568082;0.2421010693;72.61160024;0.3491130286;0.6744423869;23.56866769;0.2307810746;120.2424762;0.063167972;0.195796305;0.008430133798;0.3575431484;0.008430133798;0.2809664561;0.318213389;0.03932975944;1.109384771;0.2154649652;4417.385863;135.0004962;90.00184991;116.4822442;22.69762933;*****;*****;0.3446202031;1850551.913;0.4082885229;0.8711394278
"Template1-MirroringSurfaces --- NRQ_5570-1_LSM_50x_075_surface2_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5570;original;archaeological;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;4.82986388;52922;0.09126381997;0;0.6028199083;-0.1248079305;4.609383332;2.184490795;2.645373086;4.82986388;0.452737586;3.240138698;0.6908486617;1.274973523;21.98765446;0.4313877258;163.4992989;0.118877753;0.6767703933;0.03815466792;0.7290100585;0.03815466792;0.4438046622;0.646524195;0.08248586349;2.245363763;0.42130239;4285.26796;135.0107561;44.97873183;179.9597176;41.48739644;*****;*****;1.291201653;1997450.375;0.764486423;1.317893313
"Template1-MirroringSurfaces --- NRQ_5570-1_LSM_50x_075_surface3_Topo-mold > Leveled (LS-plane) > Form removed (LS-poly 3) > Outliers removed > Thresholded (0.1000 % ; 99.90 %) > S-filtered (Lambda-s 2.500 µm) > Filled-in non-measured points";NRQ5570;original;archaeological;A;Surface;X;255.4748064;3000;85.18666436;Y;255.4748064;3000;85.18666436;Z;Topography;5.086219928;87311;0.05825405651;0;0.6052951341;-0.4344273834;4.484153805;2.538420513;2.547799416;5.086219928;0.4535427281;0.5630185887;0.7118128998;1.411466757;26.94901597;0.7929091699;59.25043691;0.15799197;1.161899142;0.02750634058;0.7392910746;0.02750634058;0.4722422421;0.6440219887;0.09526908586;2.246771579;0.4176372709;4092.831002;45.00284073;179.9812455;134.9930617;78.41562849;*****;*****;2.333816422;1997450.375;0.3208971038;1.30515843
